ID_Ra,Name,Category,Total kg CO2-eq/kg,Agriculture,iLUC,Food processing,Packaging,Transport,Retail,Energy (KJ/100 g),Fat (g/100 g),Carbohydrate (g/100 g),Protein (g/100 g),ID_food,ID_pack,ID_retail,
Ra00170,"Spinach, chopped, frozen",Fruit/vegetable products,0.64,0.38,0.04,0.02,0.06,0.12,0.02,108,0.5,2.2,2.1,Fa0108,Pa040,Ma0334,
Ra00171,"Broccoli, frozen",Fruit/vegetable products,0.82,0.52,0.05,0.02,0.06,0.16,0.02,113,0.3,1.8,2.8,Fa0109,Pa040,Ma0334,
Ra00172,"Beans, wax, raw",Vegetables,0.95,0.45,0.04,0.00,0.14,0.32,0.01,148,0.2,5.3,2.1,Cm014,Pa059,Ma0332,
Ra00173,"Peas, green, raw",Vegetables,1.27,0.92,0.10,0.00,0.06,0.18,0.01,294,0.7,6.5,5.9,Cm122,Pa040,Ma0332,
Ra00174,"Green lentils, dried",Cereal/grain/pulse products,3.08,2.42,0.25,0.00,0.20,0.19,0.01,1466,2.5,53.2,26.2,Cm089,Pa018,Ma0332,
Ra00175,"Peas, chick/garbanzo, dry, raw",Cereal/grain/pulse products,3.60,2.77,0.36,0.00,0.20,0.26,0.01,1541,6.9,45.9,20.4,Cm036,Pa018,Ma0332,
Ra00176,"Beans, green, raw",Vegetables,0.95,0.45,0.04,0.00,0.14,0.32,0.01,126,0.2,5.9,1.9,Cm014,Pa059,Ma0332,
Ra00177,"Bean sprouts, mung, raw",Fruit/vegetable products,0.95,0.45,0.04,0.00,0.14,0.32,0.01,143,0.2,4.1,3,Cm014,Pa059,Ma0332,
Ra00178,"Bean sprouts, average values, raw",Fruit/vegetable products,0.95,0.45,0.04,0.00,0.14,0.32,0.01,157,0.3,5.1,3,Cm014,Pa059,Ma0332,
Ra00179,"Sugar pea (Snow pea, Mangetout) raw",Vegetables,1.34,0.92,0.10,0.00,0.14,0.18,0.01,202,0.3,6.4,3.8,Cm122,Pa059,Ma0332,
Ra00180,"Beans, soy, dried, raw",Cereal/grain/pulse products,1.84,1.28,0.19,0.00,0.20,0.16,0.01,1720,18.4,17.5,35.8,Cm152,Pa018,Ma0332,
Ra00181,"Peas, green, frozen",Vegetables,1.62,1.15,0.12,0.02,0.06,0.24,0.02,310,0.7,8.4,6.1,Fa0110,Pa040,Ma0334,
Ra00182,"Water, bottled, carbonated",Beverages,0.19,0.00,0.01,0.02,0.13,0.02,0.01,17,0,0,0,Fa0012,Pa011,Ma0332,
Ra00183,"Soft drink, sugar added",Beverages,0.59,0.15,0.02,0.14,0.20,0.07,0.01,170,0,9.9,0,Fa0008,Pa003,Ma0332,
Ra00184,"Apple juice, canned or bottled",Beverages,1.68,0.54,0.04,0.60,0.31,0.18,0.01,204,0.1,10.2,0.1,Fa0032,Pa021,Ma0332,
Ra00185,"Sherry, dry",Beverages,2.91,1.05,0.08,1.04,0.37,0.37,0.01,487,0,1.3,0.2,Fa0018,Pa008,Ma0332,
Ra00186,"Liqueur, coffee with cream",Beverages,3.56,1.45,0.02,1.34,0.37,0.38,0.01,1382,15.7,20,2.8,Fa0019,Pa008,Ma0332,
Ra00187,"Margarine, 70 % fat, table use, soft, vegetable fat",Milk/eggs/substitute products,2.49,0.00,-0.04,2.11,0.24,0.18,0.00,2806,70.6,0,0.8,Fa0023,Pa017,Ma0333,
Ra00188,"Garfish, raw",Seafood,2.63,0.44,0.14,1.87,0.14,0.03,0.00,450,3.2,0,19.5,Fa0417,Pa059,Ma0333,
Ra00189,"Salmon, Atlantic, wild, raw",Seafood,2.09,0.44,0.12,1.36,0.14,0.03,0.00,666,7.5,0,18.4,Fa0419,Pa059,Ma0333,
Ra00190,"Mackerel, raw",Seafood,1.98,0.44,0.11,1.26,0.14,0.03,0.00,780,12.9,0,17.8,Fa0420,Pa059,Ma0333,
Ra00191,"Plaice, raw",Seafood,2.81,0.44,0.15,2.04,0.14,0.03,0.00,369,1.9,0,17.5,Fa0421,Pa059,Ma0333,
Ra00192,"Herring, raw",Seafood,2.23,0.44,0.12,1.49,0.14,0.03,0.00,784,13.6,0,16.5,Fa0422,Pa059,Ma0333,
Ra00193,"Saithe, raw",Seafood,2.81,0.44,0.15,2.04,0.14,0.03,0.00,333,0.7,0,18.1,Fa0423,Pa059,Ma0333,
Ra00194,"Cod, fillet, raw",Seafood,2.81,0.44,0.15,2.04,0.14,0.03,0.00,320,0.6,0,17.6,Fa0424,Pa059,Ma0333,
Ra00195,"Plaice, fillet, breaded, dybfrost",Seafood,2.45,0.40,0.13,1.59,0.26,0.05,0.02,577,1.1,19.1,11.9,Fa0219,Pa066,Ma0334,
Ra00196,"Saithe (UK), pollock (US), fillet, frozen",Seafood,2.71,0.44,0.15,1.92,0.14,0.03,0.02,387,0.9,0,20.5,Fa0425,Pa059,Ma0334,
Ra00197,"Tuna, raw",Seafood,3.10,0.44,0.17,2.32,0.14,0.03,0.00,496,1.1,0,26.8,Fa0426,Pa059,Ma0333,
Ra00198,"Salmon, Atlantic, aquaculture, cold smoked",Seafood,2.78,0.56,0.17,1.80,0.14,0.11,0.00,711,8.9,1.6,20.9,Fa0393,Pa059,Ma0333,
Ra00199,"Salmon, atlantic, aquaculture, hot smoked",Seafood,3.08,0.56,0.17,2.10,0.14,0.11,0.00,1108,20.7,0,20.1,Fa0394,Pa059,Ma0333,
Ra00200,"Salmon, atlantic, aquaculture, raw",Seafood,2.09,0.44,0.12,1.36,0.14,0.03,0.00,947,18.3,0,15.8,Fa0418,Pa059,Ma0333,
Ra00201,"Mayonnaise, low fat",Seasonings/preservatives/extracts,1.17,0.12,0.01,0.35,0.64,0.05,0.01,1899,51.3,0,0,Fa0120,Pa042,Ma0332,
Ra00202,Mayonnaise,Seasonings/preservatives/extracts,3.13,0.20,0.01,1.91,0.64,0.37,0.01,3002,80,0.1,1.1,Fa0119,Pa042,Ma0332,
Ra00203,"Remoulade, average values",Seasonings/preservatives/extracts,1.86,0.54,0.06,0.71,0.42,0.13,0.01,1568,36.8,12,1.1,Fa0121,Pa063,Ma0332,
Ra00204,"Oyster, raw",Seafood,0.84,0.00,0.01,0.45,0.08,0.31,0.00,258,1.5,4.2,7.8,Fa0395,Pa062,Ma0333,
Ra00205,"Mussel, raw",Seafood,0.19,0.00,0.00,0.08,0.08,0.02,0.00,348,2.2,0,11.9,Fa0398,Pa062,Ma0333,
Ra00206,"Octopus, raw",Seafood,0.38,0.00,0.01,0.08,0.26,0.02,0.00,324,0.9,1.5,16.4,Fa0399,Pa066,Ma0333,
Ra00207,"Mushroom, raw",Vegetables,0.38,0.06,0.01,0.00,0.26,0.04,0.00,110,0.3,0,2.9,Cm101,Pa066,Ma0333,
Ra00208,Oyster mushroom,Vegetables,0.38,0.06,0.01,0.00,0.26,0.04,0.00,182,0.4,6.5,3.3,Cm101,Pa066,Ma0333,
Ra00209,"Almondmilk, unfortified",Milk/eggs/substitute products,0.53,0.33,0.04,0.02,0.08,0.05,0.01,196,2.2,4.3,0.8,Fa0145,Pa035,Ma0332,
Ra00210,"Ricemilk, with added calcium",Milk/eggs/substitute products,1.40,1.12,0.05,0.03,0.08,0.11,0.01,230,0.9,6.9,0.1,Fa0146,Pa035,Ma0332,
Ra00211,"Oatmilk, with added calcium",Milk/eggs/substitute products,0.40,0.12,0.02,0.14,0.08,0.03,0.01,190,1.6,5.6,0.6,Fa0147,Pa035,Ma0332,
